"";"Disorder";"Intermediate";"Symptom";"Chapter"
"68";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Symptoms In Catatonia";"Schizophrenia Spectrum"
"69";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Symptoms In Catatonia";"Stupor";"Schizophrenia Spectrum"
"70";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Symptoms In Catatonia";"Catalepsy";"Schizophrenia Spectrum"
"71";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Symptoms In Catatonia";"Sky Flexibility";"Schizophrenia Spectrum"
"72";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Symptoms In Catatonia";"Mutism";"Schizophrenia Spectrum"
"73";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Symptoms In Catatonia";"Negativity";"Schizophrenia Spectrum"
"74";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Symptoms In Catatonia";"Inappropriate Posture";"Schizophrenia Spectrum"
"75";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Symptoms In Catatonia";"Mannerism";"Schizophrenia Spectrum"
"76";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Symptoms In Catatonia";"Stereotyping";"Schizophrenia Spectrum"
"77";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Symptoms In Catatonia";"Agitation";"Schizophrenia Spectrum"
"78";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Symptoms In Catatonia";"Faces";"Schizophrenia Spectrum"
"79";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Symptoms In Catatonia";"Echolalia";"Schizophrenia Spectrum"
"80";"Catatonia Associated With Other Mental Disorder (Catatonia Specifier)";"Symptoms In Catatonia";"Echopraxia";"Schizophrenia Spectrum"
"81";"Catatonia Disorder Due To Other Medical Condition";"Catatonia Disorder Due To Other Medical Condition";"Symptoms In Catatonia";"Schizophrenia Spectrum"
"82";"Catatonia Disorder Due To Other Medical Condition";"Symptoms In Catatonia";"Stupor";"Schizophrenia Spectrum"
"83";"Catatonia Disorder Due To Other Medical Condition";"Symptoms In Catatonia";"Catalepsy";"Schizophrenia Spectrum"
"84";"Catatonia Disorder Due To Other Medical Condition";"Symptoms In Catatonia";"Sky Flexibility";"Schizophrenia Spectrum"
"85";"Catatonia Disorder Due To Other Medical Condition";"Symptoms In Catatonia";"Mutism";"Schizophrenia Spectrum"
"86";"Catatonia Disorder Due To Other Medical Condition";"Symptoms In Catatonia";"Negativity";"Schizophrenia Spectrum"
"87";"Catatonia Disorder Due To Other Medical Condition";"Symptoms In Catatonia";"Inappropriate Posture";"Schizophrenia Spectrum"
"88";"Catatonia Disorder Due To Other Medical Condition";"Symptoms In Catatonia";"Mannerism";"Schizophrenia Spectrum"
"89";"Catatonia Disorder Due To Other Medical Condition";"Symptoms In Catatonia";"Stereotyping";"Schizophrenia Spectrum"
"90";"Catatonia Disorder Due To Other Medical Condition";"Symptoms In Catatonia";"Agitation";"Schizophrenia Spectrum"
"91";"Catatonia Disorder Due To Other Medical Condition";"Symptoms In Catatonia";"Faces";"Schizophrenia Spectrum"
"92";"Catatonia Disorder Due To Other Medical Condition";"Symptoms In Catatonia";"Echolalia";"Schizophrenia Spectrum"
"93";"Catatonia Disorder Due To Other Medical Condition";"Symptoms In Catatonia";"Echopraxia";"Schizophrenia Spectrum"
